"Step","saturate_moe1Bsparse_15B - throughput/device/TPS","saturate_moe1Bsparse_15B - throughput/device/TPS__MIN","saturate_moe1Bsparse_15B - throughput/device/TPS__MAX","saturate_moe1Bolmo_15B - throughput/device/TPS","saturate_moe1Bolmo_15B - throughput/device/TPS__MIN","saturate_moe1Bolmo_15B - throughput/device/TPS__MAX","saturate_135M_15B_03 - throughput/device/TPS","saturate_135M_15B_03 - throughput/device/TPS__MIN","saturate_135M_15B_03 - throughput/device/TPS__MAX","saturate_1B_15B.py - throughput/device/TPS","saturate_1B_15B.py - throughput/device/TPS__MIN","saturate_1B_15B.py - throughput/device/TPS__MAX","saturate_271M_15_2_cont - throughput/device/TPS","saturate_271M_15_2_cont - throughput/device/TPS__MIN","saturate_271M_15_2_cont - throughput/device/TPS__MAX","saturate_271M_15B_2 - throughput/device/TPS","saturate_271M_15B_2 - throughput/device/TPS__MIN","saturate_271M_15B_2 - throughput/device/TPS__MAX"
"2","94986.7109375","94986.7109375","94986.7109375","52080.76953125","52080.76953125","52080.76953125","194790.015625","194790.015625","194790.015625","21402.833984375","21402.833984375","21402.833984375","","","","99451.0546875","99451.0546875","99451.0546875"
"3","95531.3125","95531.3125","95531.3125","52001.1171875","52001.1171875","52001.1171875","192941.1875","192941.1875","192941.1875","21324.953125","21324.953125","21324.953125","","","","97260.78125","97260.78125","97260.78125"
"4","95317.75","95317.75","95317.75","52090.7890625","52090.7890625","52090.7890625","191980.125","191980.125","191980.125","21309.21875","21309.21875","21309.21875","","","","97228.9609375","97228.9609375","97228.9609375"
"5","95240.1953125","95240.1953125","95240.1953125","52300.5703125","52300.5703125","52300.5703125","192300.6875","192300.6875","192300.6875","21345.96484375","21345.96484375","21345.96484375","","","","96836.171875","96836.171875","96836.171875"
"6","95101.1953125","95101.1953125","95101.1953125","52395.55859375","52395.55859375","52395.55859375","191547.125","191547.125","191547.125","21362.48828125","21362.48828125","21362.48828125","","","","96596.109375","96596.109375","96596.109375"
"7","92936.546875","92936.546875","92936.546875","52446.89453125","52446.89453125","52446.89453125","193436.40625","193436.40625","193436.40625","21366.765625","21366.765625","21366.765625","","","","96551.3046875","96551.3046875","96551.3046875"
"8","92723.1484375","92723.1484375","92723.1484375","52419.4765625","52419.4765625","52419.4765625","191981.46875","191981.46875","191981.46875","21365.595703125","21365.595703125","21365.595703125","","","","97139.7890625","97139.7890625","97139.7890625"
"9","93382.7734375","93382.7734375","93382.7734375","52551.3125","52551.3125","52551.3125","191353.625","191353.625","191353.625","21365.05859375","21365.05859375","21365.05859375","","","","96404.5","96404.5","96404.5"
"10","92927.21875","92927.21875","92927.21875","52520.26953125","52520.26953125","52520.26953125","191704.390625","191704.390625","191704.390625","21365.638671875","21365.638671875","21365.638671875","","","","96617.9921875","96617.9921875","96617.9921875"
"11","92745.359375","92745.359375","92745.359375","52438.83984375","52438.83984375","52438.83984375","192664.421875","192664.421875","192664.421875","21366.265625","21366.265625","21366.265625","","","","96494.5078125","96494.5078125","96494.5078125"
"12","93091.6875","93091.6875","93091.6875","52496.67578125","52496.67578125","52496.67578125","191148.296875","191148.296875","191148.296875","21368.443359375","21368.443359375","21368.443359375","","","","96524.7734375","96524.7734375","96524.7734375"
"13","94635.8984375","94635.8984375","94635.8984375","52556.22265625","52556.22265625","52556.22265625","191617.140625","191617.140625","191617.140625","21368.80859375","21368.80859375","21368.80859375","","","","96568.78125","96568.78125","96568.78125"
"14","93669.109375","93669.109375","93669.109375","52552.4140625","52552.4140625","52552.4140625","192392.765625","192392.765625","192392.765625","21367.77734375","21367.77734375","21367.77734375","","","","96707.875","96707.875","96707.875"
"15","94936.015625","94936.015625","94936.015625","52542","52542","52542","191952.75","191952.75","191952.75","21368.34765625","21368.34765625","21368.34765625","","","","96715.625","96715.625","96715.625"
"16","93200.0703125","93200.0703125","93200.0703125","52496.0546875","52496.0546875","52496.0546875","192021.1875","192021.1875","192021.1875","21364.947265625","21364.947265625","21364.947265625","","","","96557.9375","96557.9375","96557.9375"
"17","94120.109375","94120.109375","94120.109375","52560.953125","52560.953125","52560.953125","190518.90625","190518.90625","190518.90625","21368.876953125","21368.876953125","21368.876953125","","","","96725.8046875","96725.8046875","96725.8046875"
"18","93832.25","93832.25","93832.25","52607.91015625","52607.91015625","52607.91015625","191025.46875","191025.46875","191025.46875","21369.65234375","21369.65234375","21369.65234375","","","","96664.2890625","96664.2890625","96664.2890625"
"19","93878.5234375","93878.5234375","93878.5234375","52528.71875","52528.71875","52528.71875","190752.828125","190752.828125","190752.828125","21367.498046875","21367.498046875","21367.498046875","","","","96750.7265625","96750.7265625","96750.7265625"
"20","93941.6875","93941.6875","93941.6875","52550.60546875","52550.60546875","52550.60546875","192263.921875","192263.921875","192263.921875","21368.349609375","21368.349609375","21368.349609375","","","","96707.2109375","96707.2109375","96707.2109375"
"21","93184.1328125","93184.1328125","93184.1328125","52407.24609375","52407.24609375","52407.24609375","190926.3125","190926.3125","190926.3125","21364.623046875","21364.623046875","21364.623046875","","","","96589.0703125","96589.0703125","96589.0703125"
"22","93104.4609375","93104.4609375","93104.4609375","52386.41015625","52386.41015625","52386.41015625","189785.03125","189785.03125","189785.03125","21365.59765625","21365.59765625","21365.59765625","","","","96533.5546875","96533.5546875","96533.5546875"
"23","93409.109375","93409.109375","93409.109375","52524.73046875","52524.73046875","52524.73046875","190690.0625","190690.0625","190690.0625","21366.712890625","21366.712890625","21366.712890625","","","","96814.609375","96814.609375","96814.609375"
"24","93793.0703125","93793.0703125","93793.0703125","52458.8359375","52458.8359375","52458.8359375","191115.78125","191115.78125","191115.78125","21365.724609375","21365.724609375","21365.724609375","","","","96317.1171875","96317.1171875","96317.1171875"
"25","95290.6328125","95290.6328125","95290.6328125","52403.3359375","52403.3359375","52403.3359375","191906.921875","191906.921875","191906.921875","21365.98828125","21365.98828125","21365.98828125","","","","96941.484375","96941.484375","96941.484375"
"26","95372.828125","95372.828125","95372.828125","52299.73828125","52299.73828125","52299.73828125","190386.953125","190386.953125","190386.953125","21363.328125","21363.328125","21363.328125","","","","96534.8125","96534.8125","96534.8125"
"27","95816.3515625","95816.3515625","95816.3515625","52240.7421875","52240.7421875","52240.7421875","189985.25","189985.25","189985.25","21366.529296875","21366.529296875","21366.529296875","","","","96589.3515625","96589.3515625","96589.3515625"
"28","96072.25","96072.25","96072.25","52206.57421875","52206.57421875","52206.57421875","190622.546875","190622.546875","190622.546875","21367.341796875","21367.341796875","21367.341796875","","","","96310.8828125","96310.8828125","96310.8828125"
"29","94771.2265625","94771.2265625","94771.2265625","52168.07421875","52168.07421875","52168.07421875","190360.25","190360.25","190360.25","21369.2890625","21369.2890625","21369.2890625","","","","96896.3046875","96896.3046875","96896.3046875"
"30","95157.0078125","95157.0078125","95157.0078125","52039.5625","52039.5625","52039.5625","190340.921875","190340.921875","190340.921875","21366.5546875","21366.5546875","21366.5546875","","","","96589.640625","96589.640625","96589.640625"
"31","95145.8671875","95145.8671875","95145.8671875","51980.38671875","51980.38671875","51980.38671875","190102.1875","190102.1875","190102.1875","21360.578125","21360.578125","21360.578125","","","","96202.015625","96202.015625","96202.015625"
"32","95492.84375","95492.84375","95492.84375","52073.625","52073.625","52073.625","190344.53125","190344.53125","190344.53125","21362.451171875","21362.451171875","21362.451171875","","","","96394.7734375","96394.7734375","96394.7734375"
"33","96021.5078125","96021.5078125","96021.5078125","52107.37109375","52107.37109375","52107.37109375","190489.109375","190489.109375","190489.109375","21362.623046875","21362.623046875","21362.623046875","","","","96359.3203125","96359.3203125","96359.3203125"
